episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
149,-119.2371,0.7257,3.4917,28.7525,0.4738,1.358623,
150,-21.3657,0.7499,9.1093,3.9889,0.4715,1.333555,6.3682
151,-15.6597,0.6961,12.8257,1.8149,0.4691,1.28421,
152,-18.2138,0.6761,15.2697,4.3108,0.4668,1.28063,
153,-49.6664,0.7355,6.6124,11.7767,0.4644,1.236656,
154,-94.9842,0.7386,5.8221,21.9165,0.4621,1.335808,
155,-34.7117,0.7016,10.7452,7.5211,0.4598,1.55867,
156,-70.5657,0.7735,5.253,17.4233,0.4575,1.302535,
157,-28.0299,0.7162,12.7458,6.9505,0.4552,1.175453,
158,-32.3005,0.6859,13.9357,7.6562,0.4529,1.268032,
159,-127.1779,0.6937,5.9121,26.508,0.4507,1.277492,
160,-44.8611,0.7062,10.0769,8.485,0.4484,1.353968,
161,-133.6102,0.7366,0.1187,31.1438,0.4462,1.223256,
162,-40.4818,0.7287,10.6576,8.6701,0.444,1.306686,
163,-3.1037,0.6897,15.6363,0.3095,0.4417,1.18921,
164,-87.4823,0.7209,8.5458,19.1082,0.4395,1.301771,
165,-41.3956,0.7178,11.6136,8.4042,0.4373,1.176061,
166,-99.7976,0.6932,7.4249,22.7553,0.4351,1.288847,
167,-97.5409,0.7085,7.1849,21.507,0.433,1.225332,
168,-22.4294,0.7047,12.5559,3.995,0.4308,1.331603,
169,-90.003,0.7233,7.0495,18.1972,0.4286,1.285994,
170,-77.9013,0.684,7.035,17.5761,0.4265,1.302554,
171,-72.1645,0.7521,6.3298,15.8771,0.4244,1.289604,
172,-121.5614,0.7534,2.4301,28.25,0.4223,1.329738,
173,-14.6508,0.6907,13.5583,2.6239,0.4201,1.381562,
174,-4.0404,0.74,13.1954,1.8031,0.418,1.227093,
175,-49.791,0.6844,11.2519,11.1339,0.4159,1.198552,7.4918
176,-41.2723,0.6938,12.9567,8.9577,0.4139,1.316427,
177,-40.8482,0.6985,9.4301,9.6608,0.4118,1.274967,
178,-94.4026,0.7234,4.801,22.2877,0.4097,1.292218,
179,-68.9596,0.7101,8.7939,14.9677,0.4077,1.196116,
180,-49.838,0.7102,10.5618,10.4568,0.4057,1.264942,
181,-42.6392,0.6965,10.6387,9.6841,0.4036,1.19583,
182,-75.1409,0.6789,9.832,15.0238,0.4016,1.263891,
183,-29.3791,0.7347,12.1516,6.1757,0.3996,1.239854,
184,-62.6001,0.6931,10.4073,12.9334,0.3976,1.180372,
185,-54.7948,0.7112,11.0356,11.2923,0.3956,1.24331,
186,-56.7752,0.7512,9.0049,13.1352,0.3936,1.208978,
187,4.2209,0.6955,12.7515,0.0,0.3917,1.237688,
188,-33.473,0.7227,7.3366,9.7535,0.3897,1.29774,
189,-98.0928,0.6926,4.3242,23.284,0.3878,1.196666,
190,-153.3688,0.7141,2.5323,33.8629,0.3858,1.133675,
